Time [ms],Internal Temperature [degC], External Temperature [degC]
60050,20.76,19.13
120055,21.77,19.19
180060,21.10,19.13
240065,21.44,19.00
300070,21.44,19.06
360075,20.76,18.94
420080,21.10,19.00
480085,21.10,19.06
540090,21.10,19.13
600095,21.10,19.31
660100,21.10,19.44
720105,21.44,19.25
780110,21.10,19.25
840115,21.44,19.38
900120,21.77,19.63
960125,21.77,19.50
1020130,21.10,19.13
1080135,21.44,19.25
1140140,21.77,19.44
1200145,21.77,19.63
1260150,21.77,19.88
1320155,22.11,19.81
1380160,21.77,19.69
1440165,22.11,19.69
1500215,21.77,20.06
1560220,21.77,20.06
1620225,22.11,19.88
1680230,22.79,20.31
1740235,22.79,20.38
1800240,22.79,20.38
1860245,22.79,20.13
1920250,22.45,20.13
1980255,22.45,20.06
2040260,22.45,20.38
2100265,22.79,20.38
2160270,22.79,20.31
2220275,22.79,20.31
2280280,22.45,20.25
2340285,22.45,20.06
2400290,22.11,20.13
2460295,22.45,20.19
2520300,22.45,20.81
2580305,22.79,21.12
2640310,22.11,20.63
2700315,22.79,21.06
2760320,22.79,20.81
2820325,22.11,20.38
2880330,22.45,20.69
2940335,22.45,20.69
3000385,22.11,20.56
3060390,22.11,20.50
3120395,22.11,20.63
3180400,22.11,20.56
3240405,22.79,20.75
3300410,23.12,21.25
3360415,23.12,21.25
3420420,23.46,21.50
3480425,22.79,21.19
3540430,23.12,20.94
3600435,23.12,21.00
3660440,23.12,21.44
3720445,23.12,21.38
3780450,23.46,21.81
3840455,23.80,21.50
3900460,23.46,21.06
3960465,23.12,21.19
4020470,23.46,21.38
4080475,23.80,21.44
4140480,23.46,21.38
4200485,23.80,21.44
4260490,24.14,21.94
4320495,24.14,21.88
4380500,24.14,22.00
4440505,24.14,21.75
4500510,23.80,21.38
4560560,23.12,20.94
4620565,23.12,21.69
4680570,23.46,22.06
4740575,23.12,20.75
4800580,23.12,20.56
4860585,23.12,21.12
4920590,23.12,21.38
4980595,23.12,20.25
5040600,22.79,20.44
5100605,22.79,21.00
5160610,23.46,21.88
5220615,23.46,22.50
5280620,23.46,22.06
5340625,23.12,22.37
5400630,23.80,23.06
5460635,24.14,23.69
5520640,24.14,24.81
5580645,23.46,25.00
5640650,23.80,26.63
5700655,23.46,27.25
5760660,23.80,26.06
5820665,23.80,23.38
5880670,23.46,22.81
5940675,23.46,21.56
6000680,23.12,22.00
6060730,23.80,22.44
6120735,23.46,22.81
6180740,23.12,22.56
6240745,23.46,22.06
6300750,23.12,22.63
6360755,23.12,23.25
6420760,23.80,25.31
6480765,23.80,27.19
6540770,24.47,28.50
6600775,24.47,29.38
6660780,24.81,28.88
6720785,24.47,28.19
6780790,24.14,27.88
6840795,23.46,26.44
6900800,23.80,26.94
6960805,24.14,29.25
7020810,23.80,26.69
7080815,23.80,27.25
7140820,24.14,28.75
7200825,23.46,26.94
7260830,23.12,25.81
7320835,23.12,26.88
7380840,23.12,26.63
7440845,23.46,28.25
7500850,24.14,28.81
7560855,24.14,28.25
7620905,24.14,28.31
7680910,23.80,26.88
7740915,23.12,27.50
7800920,23.80,27.69
7860925,23.46,27.69
7920930,26.16,26.06
7980935,26.50,23.19
8040940,25.15,21.94
8100945,24.81,21.94
8160950,24.47,21.38
8220955,23.80,21.12
8280960,23.80,21.56
8340965,24.14,22.25
8400970,23.80,21.69
8460975,23.80,21.44
8520980,23.80,21.44
8580985,24.14,21.88
8640990,23.80,21.00
8700995,23.12,21.06
8761000,23.46,21.56
8821005,23.46,21.19
8881010,23.12,21.12
8941015,23.80,21.44
9001020,23.46,20.81
9061025,22.79,20.56
9121030,22.79,20.88
9181080,22.79,21.38
9241085,23.46,21.50
9301090,23.46,21.44
9361095,23.12,21.19
9421100,23.12,21.56
9481105,23.46,21.69
9541110,23.46,21.38
9601115,23.46,20.94
9661120,23.12,21.19
9721125,22.79,21.06
9781130,23.46,21.31
9841135,23.46,21.31
9901140,23.46,21.63
9961145,23.80,21.75
10021150,24.14,22.06
10081155,23.80,21.94
10141160,24.14,21.69
10201165,23.80,21.19
10261170,23.46,21.63
10321175,23.12,21.81
10381180,23.12,21.19
10441185,23.80,21.75
10501190,23.46,21.88
10561195,23.80,21.56
10621200,23.12,21.81
10681250,23.80,21.75
10741255,23.46,21.56
10801260,23.80,21.81
10861265,23.46,21.81
10921270,23.46,21.44
10981275,23.12,21.31
11041280,22.79,21.19
11101285,23.12,21.50
11161290,23.46,21.56
11221295,23.46,21.19
11281300,23.46,21.31
11341305,23.12,21.25
11401310,23.46,21.31
11461315,23.12,20.88
11521320,22.79,20.88
11581325,22.79,20.56
11641330,22.45,20.69
11701335,22.45,20.81
11761340,22.45,20.88
11821345,22.45,20.56
11881350,22.11,20.88
11941355,23.12,21.19
12001360,22.11,20.88
12061365,22.45,21.00
12121437,22.45,20.50
12181442,22.45,20.56
12241447,22.45,20.69
12301452,22.45,20.69
12361457,22.79,21.06
12421462,22.45,20.75
12481467,22.79,20.63
12541472,22.11,20.38
12601477,22.79,20.56
12661482,21.77,20.13
12721487,22.11,20.38
12781492,22.45,20.69
12841497,22.11,20.44
12901502,22.11,20.31
12961507,22.45,20.38
13021512,22.79,20.81
13081517,22.45,20.88
13141522,22.45,20.69
13201527,22.45,20.00
13261532,21.77,20.19
13321537,21.44,19.94
13381542,21.77,19.88
13441547,21.77,20.25
13501552,21.77,20.50
13561602,22.45,19.88
13621607,21.44,19.94
13681612,21.77,19.75
13741617,22.11,20.19
13801622,21.77,20.56
13861627,22.11,19.94
13921632,22.11,20.13
13981637,22.11,19.88
14041642,21.77,19.94
14101647,21.44,19.69
14161652,21.44,19.13
14221657,21.10,19.00
14281662,20.76,19.31
14341667,20.76,19.25
14401672,20.43,18.75
14461677,20.76,18.75
14521682,20.43,19.06
14581687,20.76,19.25
14641692,20.76,19.44
14701697,21.10,19.56
14761702,21.10,19.63
14821707,21.44,19.44
14881712,21.10,19.38
14941717,21.10,19.25
15001722,20.43,19.19
15061772,20.76,19.13
15121777,20.76,19.38
15181782,21.10,19.56
15241787,20.76,18.88
15301792,20.76,19.00
15361797,21.10,19.19
15421802,20.43,19.19
15481807,20.76,19.19
15541812,20.43,19.44
15601817,20.43,19.00
15661822,20.43,18.75
15721827,20.09,18.38
15781832,20.09,19.06
15841837,20.09,18.50
15901842,19.41,18.25
15961847,20.09,18.19
16021852,19.75,18.31
16081857,19.75,18.63
16141862,19.75,18.38
16201870,20.09,18.25
16261875,20.09,18.13
16321880,19.75,18.38
16381885,20.09,18.25
16441890,20.43,18.50
16501940,19.41,18.31
16561945,19.41,18.06
16621950,19.41,18.38
16681955,20.09,18.56
16741960,20.09,18.63
16801965,19.75,18.56
16861970,19.41,18.25
16921975,19.75,18.06
16981980,19.75,18.38
17041985,19.41,18.94
17101990,19.75,19.00
17161995,19.75,19.00
17222000,19.75,18.88
17282005,20.09,18.94
17342010,19.75,18.44
17402015,19.41,18.44
17462020,19.41,18.31
17522025,19.41,18.06
17582030,19.08,18.00
17642035,19.08,18.19
17702040,19.08,18.00
17762045,19.41,18.06
17822050,18.74,17.69
17882055,18.74,17.56
17942060,18.74,17.63
18002110,18.74,17.56
18062115,18.74,17.50
18122120,19.08,17.50
18182125,18.74,17.56
18242130,18.40,17.19
18302135,18.74,17.44
18362140,18.40,17.25
18422145,18.40,17.06
18482150,18.40,17.19
18542155,18.74,17.31
18602160,18.74,17.50
18662165,19.08,17.31
18722170,19.08,17.19
18782175,18.40,17.06
18842180,18.06,17.06
18902185,18.06,17.31
18962190,18.74,17.25
19022195,18.06,17.06
19082200,18.40,16.88
19142205,18.06,16.88
19202210,17.73,16.44
19262215,17.73,16.44
19322220,18.06,16.63
19382225,18.06,16.75
19442275,17.73,16.50
19502280,17.73,16.63
19562285,17.73,16.75
19622290,17.73,16.81
19682295,17.39,16.81
19742300,17.73,16.50
19802305,18.06,16.63
19862310,17.73,16.63
19922315,18.06,16.56
19982320,17.73,16.56
20042325,18.06,16.56
20102330,17.73,16.56
20162335,17.73,16.38
20222340,17.39,16.50
20282345,17.39,16.63
20342350,17.73,16.50
20402355,17.39,16.38
20462360,17.73,16.38
20522365,17.73,16.63
20582370,18.06,16.75
20642375,17.73,16.75
20702380,17.73,16.56
20762385,17.73,16.50
20822390,17.73,16.50
20882440,17.39,16.25
20942445,17.73,16.13
21002450,17.73,16.31
21062455,17.73,16.50
21122460,17.73,16.63
21182465,17.73,16.75
21242470,17.73,16.88
21302475,17.73,16.63
21362480,17.73,16.63
21422485,17.39,16.94
21482490,17.73,17.31
21542495,17.73,17.38
21602500,17.73,17.69
21662505,17.73,17.00
21722510,17.73,16.88
21782515,17.73,16.44
21842520,17.73,16.56
21902525,17.73,16.50
21962530,17.73,16.50
22022535,17.73,16.38
22082540,17.73,16.31
22142545,17.73,16.25
22202550,17.73,16.25
22262555,17.73,16.50
22322560,17.73,16.63
22382610,17.73,16.69
22442615,18.40,16.81
22502620,17.39,16.69
22562625,17.73,16.69
22622630,17.39,16.81
22682635,17.73,16.69
22742640,18.06,16.75
22802645,17.73,16.69
22862650,17.73,16.88
22922655,17.73,16.94
22982660,17.73,16.94
23042665,17.73,17.13
23102670,17.73,17.06
23162675,17.73,17.00
23222680,17.73,16.88
23282685,17.73,16.56
23342690,17.73,16.63
23402695,18.06,16.63
23462700,18.06,16.69
23522705,17.73,16.38
23582710,17.39,16.31
23642715,17.39,16.31
23702720,17.39,16.31
23762725,17.05,16.31
23822775,17.73,16.19
23882780,17.05,16.13
23942785,17.39,16.19
24002790,17.73,16.19
24062795,17.73,16.44
24122800,18.40,16.69
24182805,18.74,17.31
24242810,19.08,18.44
24302815,20.09,19.00
24362820,20.76,19.94
24422825,21.10,21.69
24482830,20.76,22.00
24542835,20.09,20.94
24602840,19.08,18.94
24662845,19.41,18.25
24722850,19.41,18.63
24782855,19.08,18.81
24842860,18.74,18.69
24902865,18.40,18.31
24962870,18.40,18.25
25022875,18.06,18.00
25082880,18.40,17.88
25142885,17.73,17.50
25202890,17.73,17.44
25262895,17.39,17.44
25322945,17.73,17.06
25382950,17.39,16.56
25442955,17.39,16.63
25502960,17.39,16.31
25562965,16.72,16.25
25622970,16.72,16.19
25682975,16.38,15.75
25742980,16.72,15.75
25802985,16.72,15.69
25862990,16.72,15.56
25922995,16.38,15.50
25983000,16.38,15.44
26043005,16.04,15.31
26103010,16.04,15.19
26163015,16.38,15.13
26223020,16.38,15.06
26283025,16.04,14.94
26343030,15.70,14.94
26403035,16.04,14.94
26463040,15.70,14.94
26523045,16.04,14.88
26583050,16.04,14.94
26643055,16.04,14.88
26703060,15.70,14.81
26763132,15.70,14.69
26823137,15.70,14.69
26883142,15.70,14.63
26943147,15.70,14.56
27003152,15.70,14.56
27063157,15.70,14.63
27123162,15.70,14.75
27183167,15.37,14.56
27243172,15.70,14.56
27303177,15.37,14.56
27363182,15.03,14.56
27423187,15.03,14.56
27483192,15.37,14.56
27543197,15.03,14.38
27603202,15.03,14.25
27663207,15.03,14.13
27723212,15.03,14.13
27783217,15.03,14.00
27843222,15.03,13.94
27903227,14.69,13.75
27963232,14.69,13.69
28023237,14.69,13.69
28083242,14.69,13.81
28143247,14.69,13.63
28203297,14.69,13.75
28263302,14.35,13.88
28323307,14.69,13.88
28383312,14.69,13.69
28443317,14.69,13.75
28503322,14.69,13.94
28563327,14.69,14.06
28623332,14.69,13.88
28683337,14.69,13.75
28743342,14.02,13.50
28803347,14.35,13.44
